START_TIME,STOP_TIME,pid,date,hour
2015-09-24 14:35:07.000,2015-09-24 14:59:59.000,SPADES_1,2015-09-24,14
2015-09-24 15:00:00.000,2015-09-24 15:55:11.000,SPADES_1,2015-09-24,15
2015-09-24 16:09:10.000,2015-09-24 16:15:05.000,SPADES_1,2015-09-24,16
2015-10-08 14:10:41.000,2015-10-08 14:59:59.000,SPADES_2,2015-10-08,14
2015-10-08 15:00:00.000,2015-10-08 15:42:48.000,SPADES_2,2015-10-08,15
2015-10-16 10:46:57.000,2015-10-16 10:59:59.000,SPADES_3,2015-10-16,10
2015-10-16 11:00:00.000,2015-10-16 11:59:59.000,SPADES_3,2015-10-16,11
2015-10-16 12:00:00.000,2015-10-16 12:03:11.000,SPADES_3,2015-10-16,12
2015-10-23 18:08:55.000,2015-10-23 18:59:59.000,SPADES_4,2015-10-23,18
2015-10-23 19:00:00.000,2015-10-23 19:35:58.000,SPADES_4,2015-10-23,19
2015-11-02 14:24:14.000,2015-11-02 14:59:59.000,SPADES_6,2015-11-02,14
2015-11-02 15:00:00.000,2015-11-02 15:59:59.999,SPADES_6,2015-11-02,15
2015-11-02 16:00:00.000,2015-11-02 16:23:30.951,SPADES_6,2015-11-02,16
2015-11-19 16:00:00.000,2015-11-19 16:59:59.999,SPADES_7,2015-11-19,16
2015-11-19 17:00:00.000,2015-11-19 17:21:47.974,SPADES_7,2015-11-19,17
