HEADER_TIME_STAMP,START_TIME,STOP_TIME,SWITCH_TO_NETWORK,DATA_USAGE_APP,DATA_USAGE_TOTAL
2015-11-19 17:29:09.264,2015-11-19 17:29:09.235,,None,0,8
2015-11-19 17:29:26.030,2015-11-19 17:29:25.995,,Wifi,0,0
2015-11-19 17:29:41.464,2015-11-19 17:29:41.419,,Wifi,0,0
2015-11-19 17:30:53.748,2015-11-19 17:30:53.736,,Wifi,0,0
2015-11-19 17:34:31.684,2015-11-19 17:34:31.682,,None,0,0
2015-11-19 17:34:49.392,2015-11-19 17:34:49.385,,Wifi,0,0
2015-11-19 17:35:03.531,2015-11-19 17:35:03.517,,Mobile,0,0
2015-11-19 17:35:14.350,2015-11-19 17:35:14.336,,Wifi,0,0
2015-11-19 17:42:36.612,2015-11-19 17:42:36.578,,Wifi,0,0
2015-11-19 17:43:00.649,2015-11-19 17:43:00.638,,Wifi,0,0
2015-11-19 17:45:10.032,2015-11-19 17:45:10.030,,Mobile,0,0
2015-11-19 17:46:04.537,2015-11-19 17:46:04.532,,Wifi,0,0
2015-11-19 17:55:11.392,2015-11-19 17:55:11.376,,Wifi,-6,-165
2015-11-19 17:55:54.926,2015-11-19 17:55:54.902,,Wifi,0,0
2015-11-19 17:56:21.616,2015-11-19 17:56:21.609,,Wifi,0,0
2015-11-19 17:57:30.880,2015-11-19 17:57:30.876,,Wifi,0,0
